title,count,organisations
"ABDOMINAL, OLYMPIC BAR, OLYMPIC CURL BAR, TWO TIRE DUMBBELLS RACK, INCLINE BENCH, SEATED LEG PRESS, SHOUL",4,['indo tibetan border police']
"ABDOMINAL, TRICEPS PRESS BENCH, 12 SIDE URETHANE OLYMPIC PLATES, OLYMPIC BAR, OLYMPIC CURL BAR, TWO TIRE",4,['indo tibetan border police']
"AC DC ADOPTER 12V, BED SWITCH FOR IRIDS, LITHIUM CELL FOR DVR CR 1216, LITHIUM CELL FOR XVR CR2032, 3H",4,['border security force']
"AC Fan Belt Mahindra Bolero, Fanbelt Alternator Mahindra Bolero, Solenoide Switch TATA 1212TC Water T",4,['border security force']
AC GAS CHARGING MACHINE,16,['national security guard']
"AC Single Phase Static Energy metre of Accuracy Class 1. 0 rating 5- 30A, Copper Conductor multi stran",7,['border security force']
AC Split type 1. 5 Ton Make LG with Stabilizer 4 KVA/ 130 and AC Clamp,4,['central armed police forces']
AC Split type 2 Ton Make LG with Stabilizer 4 KVA/ 90 and AC Clamp,7,['central armed police forces']
"AC, Ac Stand, Drain Pipe, Power Cable, Extra Refrigerant Pipe",16,['national security guard']
"ACCELERATOR PEDAL, CENTER BEARING, DRAGLINK ROD END, STREEING COLUMAN BUSH, CLUTCH PLATE, PRESSURE PLATE",16,['indo tibetan border police']
"ACCELERATORECABLE, FRONT DISC PAD, FRONT BRAKE SHOE, CHAIN SPORKET, SPEEDOMETER CABLE, SPARK PLUG, DRIVE",4,['border security force']
"ACCUCHECK GLUCOSE STRIP, ECONORM SACHET 250 MG, TAB LANZOLE 15 MG, LIQ ENTEROGERMINA 5 M L, TAB RYBELSU",7,['border security force']
"ACER CPU SL AWP146GD002B0821973E, LENOVO CPU SL PCO12DK4, Acer Monitor sl No ETLEP0C11110705D374041, A",4,['indo tibetan border police']
"ACID, MOSQUITO VAPORIZER MACHINE, MOSQUITO VAPORIZER MACHINE REFILL, BLEACHING POWDER, BROOM STICK, GLAS",19,['border security force']
"ACP BOARD 210INCH BY 30 INCH, 3D LETTER WITH LED PANNEL ADM BLOCK, ACP BOARD 96 INCH BY 18INCH, 3D LET",7,['indo tibetan border police']
"ACTIVE LED DISPLAY, HDMI CABLE 5 METERS, MOUNTING STRUCTURE FROM SAME OEM, DATA CABLE AND CONNECTOR, LE",25,['border security force']
"ADHESIVE TAPE 2INCH, BOL BIOBOOST 1X4 STRIP, BOL FENBENDAZOLE 3GM, BOL SERAKIND 1X2 STRIP, BOLUS ALBEND",4,['indo tibetan border police']
"ADJUSTABLE SPANNER TAPARIA 1173 12 1173 N 12, COMBINATION PLIER TAPARIA 1621 8 1621 8N, SCREW DRIVER",7,['border security force']
"ADX Accord, Bosch Blower, Duck Cable, Insulation Tape, Exercise Book, Plier 8 inch, M500 Telephone",7,['central armed police forces']
"AED Automated External defibrillators, LED Portable Ventilator For Adult and Pediatric, Cardiac Monit",7,['border security force']
AES KEY 256 BIT ENCRYPTION KEYS FOR DIGITAL MOTOROLA RADIO SETS,4,['border security force']
"AGRIMIN FORTE 1 KG, RUCHMAX 15 GM, OINT HIMAX 50GM, POVIDINE IODINE OINTMENT 20 GM, OINT LOREXAN SPRAY",4,['indo tibetan border police']
"AHUJA PA SPECKER SYSTEM 400W RMS SRX 440, AHUJA GOOSENECK MIC GMB 6C BASE, AHUJA GOOSENECK MIC GM 615",4,['border security force']
"AHUJA SP, TWO CORE WIRE, WIRE, STAY WIRE",16,['border security force']
