,bihar,,,,,,,,
SN,title,organisation,ref_no,state,stage,status_update_date,company_name,bid_amount,result_bid_value
76,"CONSTRUCTION OF STROM WATER DRAIN FROM KAMAT HOTEL TO POLICE QUARTER IN VIDDAYNAGAR SANJEVANI PRESS OPPOSITE, IN GULBARGA CITY",directorate of municipal administration,DMA/2011-12/RD/WORK_INDENT1477,bihar,Financial Evaluation,18-07-2011,GURUNATH BASAWANTRAYGOUDA,2192840.25,2192840.2
77,Installation work of 01 No. 7. 5 HP Tubewell Behind Ward No. 13 Mu0 Kopa Kohna Police Station.,directorate of local bodies,275/NpkopaganjMau/2024-25,bihar,AOC,16-11-2024,SRI UMASHANKAR,996507.77,996507.75
78,T02- PWD ROAD KASTOLI TO DALSINGHSARAI KAIDRABAD MALTI RCD ROAD VIA SOHILWAR VIA POLICE STATION ROAD,rural works department,BR04P3R32,bihar,AOC,13-03-2024,NISHANT KUMAR,76131146,76085464
79,CONSTRUCTION OF RCC NALI OLD POLICE STATION TO ARJUN CHOURSIYA HOUSE WARD NO 12 AND 13 NAGAR PRISHAD BAIKUNTHPUR,directorate urban administration and development,940 Baokunthpur dated 13-11-2019,bihar,Cancelled,16-07-2023,MP CONSTRUCTION,677619.89,617116.75
80,"Providing and Laying Drainage Line and Fixing Ladikaran at Kasar Vaal, Khadilkar Road, Girgaon and Tardeo Police Colony No., Tardeo",maharashtra housing and area development authority,EE/City/MSIB / e-tender/Labour Soc. / 12 / 2023-24,bihar,Financial Bid Opening,22-05-2023,Pran Majoor Sahakari Sanstha Maryadit,826623.84,821934.56
81,construction of nali in front of police chowki to truck body maker to eid gaah road from mela gughal at ward no. 66,saharanpur municipal corporation saharanpur up,3488 B,bihar,AOC,27-09-2019,K F Traders,425303,425303
82,Demolition of Police station ( thana ) Obra situated in Sector 7of OTPS for the proposed site of Obra C extension project.,up rajya vidyut utpadan nigam limited,72/SECivil/OCCMD-II/2017-18,bihar,Financial Bid Opening,03-09-2018,M/s Super Painting Decorators,637649.3,637649.3
83,Construction of C.C. Drain with Footpath on Police Station-Mohanlal Chowk-Union Bank Road At Tirora Dist. Gondia,directorate of municipal administration,NPT/PWD/02/2016-17,bihar,AOC,20-06-2016,Komal N. Katare,9273879,9273879
84,"Construction of C. C. Road at Hanuman Tekari Gate to Police Colony Near Jhansi Road, Ward No. 58, Zone No. 13",directorate urban administration and development,MPGMC/74/20x3/6/Jan/2020-21,bihar,AOC,06-10-2020,NANDAN MUKHARIYA,910801.98,807641.1
85,Ward No- 09 Moh. Ragarganj me ( Pachami patari ) Police Adhishakh Awas se Satguru/ Barat Ghar tak Nala Nirman Karya.,directorate of local bodies,1988/nppa/2022-23 (Nirman) Date-10-03-2023,bihar,Financial Evaluation,29-03-2023,SHAKEEL AHMAD,2724107.3,2709943.5
86,"Construction of Road from Sudarshan Path to Shershah Path Sadikpur Police Choki Via Guljarbagh Hat, Dadar Mandi for the year 2018- 19.",road construction department,RCD/ 08/Patna City/2018-2019,bihar,AOC,20-08-2018,PATLIPUTRA CONSTRUCTION,15726528,350000
87,"60 CC construction work from Haridutt Sharma house to Shri Banke Bihari Degree College in Garhi police station, an undertaking of Gram Panchayat Muzaffarpur.",panchayati raj department,4197/NI ANUBHAG/ZPA DATE - 13.01.2025,bihar,Financial Bid Opening,12-02-2025,Maa Kamkhaya Devi Contractors,1751392.45,1751392.5
88,Construction of drain from Late Bhupesh Kanti Deb house to the Police Colony End and One Drainage work in front of Jonty Mahato house in ward no 2,municipal affairs department,WBMAD/JM/CH/eNIT-64/2023-24,bihar,AOC,24-08-2024,GOLDEN VALLEY CONSTRUCTION COMPANY,1016061.41,1014023
89,Repairing maintenance and extension of 220V overhead line for 12 No 19 No and near Bhowra Police Station for safe and frequent lighting purpose at Bhowra North Colliery.,bharat coking coal limited,BCCL/EJA/ENM/E Tender/2023-24/125,bihar,Financial Evaluation,13-10-2023,M/S BHAGAT ENTERPRISES,208366,208366
90,NH- 77 Dadar Transformer Se Police Line REO Road Tak Via Dadar Pasi Tola Harpur Lauhri Chauk Hote Huye,pradhan mantri gram sadak yojana,MMGSY-20-MUZAFFARPUR WEST-04,bihar,Financial Bid Opening,09-06-2020,MD MOAZZAM,3548583.05,3513235.2
91,"Renovation of community hall including flooring, plastering, painting, grit washing, sanitary fittings, etc. at Kanti Nagar near Krishna Nagar Police Station.",delhi development authority,10 /EE/ED-9/DDA/2019-20,bihar,Financial Bid Opening,09-07-2019,M/S Bharat Nagpal,1060062.93,602593.8
92,"Construction of a Ladies toilet for on duty female Police Personnel  at Islampur Court Complex, Islampur under Uttar Dinajpur Division, PWD during the year 2015-2016",public works department,WBPWD/EE/UDD/NIT-12/2015-16,bihar,AOC,18-11-2015,SAMSUL HAQUE,424260,424260
93,Hiring of 01 No. Diesel Covered Jeep with MP Permit for 24hrs/ day basis for period of 730 days in Morwa thana for patrolling of police at jhingurda project.,northern coalfields limited,JRD/EM/T/2015-16/403  DATED 29.08.2015,bihar,Financial Bid Opening,20-10-2015,HR ENTERPRISES,820155,820155
94,Construction work of boundary wall of Jamlapur Pump House of Ward No. 23 and construction of drain on one side from Sukhrams house to Lotan Imli police post.,directorate of local bodies,1398/2024,bihar,Financial Bid Opening,26-02-2024,M/S MOHD ARIF,977022,977022
95,Cleaning and Sweeping of coal transportation road from Rly. siding morwa via Shukla more to purewa nallah and gorbi market culvert to police chowki at Block B Project.,northern coalfields limited,NCL/CIVIL/BLB/22-23/ETN/37,bihar,AOC,02-03-2023,JAISWAL ENTERPRISES,3602181.76,3000168.2
96,"Installation of Iron, Bacteria, arsenic free Deep- tubewell ( Sajaldhara ) near the house of Brindabon Biswas at Bhagabanpur Police camp at Joyghata Gram Panchayat, Krishnaganj Block",zilla parishad,03/KNJ/PS-e-Tender of 2021-22,bihar,AOC,24-05-2022,M/S UPANANDA SARKAR,1165410,1165410
97,Providing Paved Shoulder both side of Balurghat Police Station to Raghunathpur Tank more Road via Chakbhabani crematorium from 1.00 kmp to 2.23 kmp during the year 2014 2015.,public works department,WBPWD/SE/NC/NIT_19/2014-2015,bihar,AOC,03-03-2015,C. R. SEN,16041392,16041392
98,CONSTRUCTION OF DRAIN FROM THE ENTRY GATE OF JHANTIPAHARI POLICE STATION TO LIBRARY AT MOUZA JHANTIPAHARI JL NO 146 UNDER ARRAH GRAM PANCHAYAT UNDER XV FINANCE COMMISSION DURING THE YEAR 2022 2023,zilla parishad,E NIT16,bihar,AOC,16-01-2023,TAPAS RAKSHIT,186764.92,186727.47
99,T02- PWD ROAD KASTOLI TO DALSINGHSARAI KAIDRABAD MALTI RCD ROAD VIA SOHILWAR VIA POLICE STATION ROAD Construction of RCC BOX Bridge At ch 2 100,national rural roads development agency,BR04P3R45,bihar,Financial Bid Opening,27-05-2025,NISHANT KUMAR,17455797.8,17443578
100,Ward No. 23 from Khudaipura chauraha to railway crossing via Lotan Tamarind police post interlocking on the track repair of drain and construction of slab on the drain as per requirement.,directorate of local bodies,1543/2021-22,bihar,Financial Bid Opening,05-01-2022,M/S BABA SHIVPOOJAN ENTERPRISES,3399660.5,3397620.5
101,Improvement of damaged streets and approach road in police station side in Kanti Nagar West in Gandhi Nagar Constituency. AC- 61 ( Regn. No 1553 ) including maintenance for 5 years.,irrigation and flood control,133/NIT/EE/CD-IV/IFC/2018-19,bihar,Financial Bid Opening,30-01-2019,PRAVEEN KUMAR,11846311.42,8600517
102,"Repairs to flooring,plaster,roofing and water supply,doors,windows of lakadipool,namakganj,badkas chowk and garudkhamb,sadar police qtrs and rajnagar transit qtrs at nagpur (2nd call)",public works region,pwc/ngp/div1/36-16/2017-18,bihar,AOC,21-11-2017,Me. D. G. Parwate,1695816,1695816
103,Construction of Concrete Pavement road from Kshanika Ghat road to Police Holiday Home road via Tantuja at Mini Holiday Home Sector at New Digha under Digha Sankarpur Development Authority,digha sankarpur development authority,E_019/DSDA/2017_2018,bihar,AOC,12-10-2017,PHALGUNI JANA,7569627.33,7569627.5
104,"Refilling of fire extinguisher at pwd premises, commissioner office, administrative  building  at nagpur. and cid office, ashray building , detention camp and other office building  at police line  takali, rajnagar sankul , nagpur.",public works region,pwc/ngp/div1/30-15/2017-18,bihar,AOC,18-11-2017,GURU MAULI SAFETY AND FIRE,219780,219780
105,"Fitting of paver block from house of ikubailaim to house of jagdish gupta, police station to Tiwari house, pravin rode to amol jadhao, Tiwari dp to brahmaji gupta and Deepak dethe to gajanan bhalewad in prabhag no. 9 at NP ARNI",directorate of municipal administration,E-Tender/2022-23/1,bihar,AOC,28-02-2023,Sagar Gajananrao Ghoderao,519937.79,705096
106,"Work- 36, ward 40, me Sahibabad me saur urza marg par Railway police choki se Sahibabad depo avm Sahibabad depo se Vasundhara red light tak RCC nale ka nirman karya",directorate of local bodies,185/Nirman/2021-2022 DT 13-09-2021,bihar,Financial Bid Opening,08-12-2021,PREM CONSTRUCTION,15741481.3,15741481
107,Periodical repair of the road from AA road near Kumarghat Police station to the tea shop of Sri Ranjit Biswas towards FCI godown Total length 400 mtr during the year 2024 25 SH Soling metalling carpeting nnd RCC drain work etc,chief engineer pwd r and b,9/SEI/KGT/2024-25,bihar,AOC,05-11-2024,JAYANTA DAS,8897757.75,8474055
