item,count,ref_nos
design engineering procurement for construction of residential buildings of police training school to double its capacity at sitapur uttar pradesh india on epc basis 2nd calling,1,"[""['405/General/Bhawan Cell/2023 dt 20.03.2023']""]"
engineering planning for the construction of type- a,1,"[""['77/UPPCL/PM-36/Noida/2022-23, DT, 21.11.2020']""]"
consultancy service for comprehensive architectural,1,"[""['77/UPPCL/PM-36/Noida/2022-23, DT, 21.11.2020']""]"
surajpur,2,"[""['ITBP/Referral Hospital/Engineering Branch/2019-294']"", ""['77/UPPCL/PM-36/Noida/2022-23, DT, 21.11.2020']""]"
type- b residences work at police line,1,"[""['77/UPPCL/PM-36/Noida/2022-23, DT, 21.11.2020']""]"
district gautambudha nagar,1,"[""['77/UPPCL/PM-36/Noida/2022-23, DT, 21.11.2020']""]"
construction of non residential buildings to double the capacity of police training college at sitapur uttar pradesh india on epc basis 2nd calling,1,"[""['1905/General/Bhawan Cell/2023 dt 28.04.2023']""]"
design engineering procurement,4,"[""['1904/General/Bhawan Cell/2023 dt 28.04.2023']"", ""['1907/General/Building Cell/2023 Dated 28.04.2023']"", ""['1905/General/Bhawan Cell/2023 dt 28.04.2023']"", ""['1903/General/Bhawan Cell/2023 dated 28.04.2023']""]"
gramodhoyog board.,1,"[""['1411/EE/RED/GBN/Dt- 14.03.2022']""]"
construction of work shed in reserve police line utter pradesh khadi,1,"[""['1411/EE/RED/GBN/Dt- 14.03.2022']""]"
construction of proposed hostel building for 32 female in police lines at ballia,1,"[""['29/UPPCL/GM-1/E-TENDER/2023-24 Dated-16.05.2023']""]"
uttar prades. h,1,"[""['29/UPPCL/GM-1/E-TENDER/2023-24 Dated-16.05.2023']""]"
construction work of rcc nala in awas vikas police line tirahe to uttar ki,1,"[""['2202/JNV/E-NIVIDA/2022-23 date 26.09.2022']""]"
aage.,1,"[""['2202/JNV/E-NIVIDA/2022-23 date 26.09.2022']""]"
construction of two nos. vehicle stockyards on shaheed path ( nh- 56 a,1,"[""['PIU-LKO/Ramp/Shaheed Path/2022-23/10']""]"
