MP Police,,
item,count,ref_nos
construction of guard room at dig office campus at chhindwara,1,07/2020-21
fixing tiles accessories at swimming pool,1,34/2022-23
majhgawan,1,20/2018-19_2
residential bulding block- a,1,SP/Ujjain/RI/3411D/2023
result for external electrification work for 8_ 12_ 48 qrts.,1,NIT 20/2024-25_4
construction of mahila desk for fir at kotwali,1,20/2018-19_11
flooring work 08 rooms telcom bhopal,1,46/2018-19
near ptri jehangirabad bhopal,1,70/218-19
fsl 28 item,1,PHQ/GPC/15/4664-3/22
construction of mahila desk at police thana nalcha distt. dhar,1,17/2018-19/9
maintenance of vehicle washing stand,1,SP/Ujjain/RI/3406/2023
installation of lift officer mess pta bhopal,1,53/2018-19
bus,2,"M-6966/2024-25, NIT MT01 2023-24"
special repairing work at thana building bairad dist shivpuri,1,42/2022-23
external electrification work 12 48 qtrs drp line sheopur,1,20/2018-19
garam suit,2,"SB/STORE/2024-25 (278) BHOPAL DATED 31.07.2024, SB/STORE/2019-25(455) BHOPAL DATED 30-12-19"
plasticware items,1,PHQ/15/GPC/7282-3/23
construction of mahila desk thana bina 03 others sagar,1,50/2018-19
construction of kanya shiksha parisar at bijadandi distt mandla,1,09/2023-24
external painting of qrts no 19 to 26,1,14/2023-24
renovation work at special branch phq bhopal,1,40/2024-25
building construction work,2,"6BNSAF/QM//B/4983, QM/A/3437-D"
construction of indoor badminton court at raj bhawan bhopal,1,35/2022-23
construction of 138 constable quarters at police radio colony bhadbhada raod bhopal,1,04/2020-21
construction of police chowki manikwar distt. rewa,1,05/2020-21
2 h type residential qtrs. for staff at community health center birsa distt. balaghat. balance incomplete work,1,07 / 2020-21
construction of police chowki at bhimgara distt seoni,1,06/2019-20/1
renovation work of sewer line at q,1,16/2019-20/5
renovation home guard mess camp office bhopal,1,53/2018-19
barrack construction home guard training centre bhopal,1,02/2019-20
construction at first floor police fire bhopal,1,09/2020-21
12 qtrs at police thana campus gotegaon distt narsingpur,1,10/2019-20
pipe line water tanki,1,15/ 2024-25
condemn 45 mtr. tower auction,1,894-A/2024 DATE-12/08/2024
special repair work at policethana building mrigwas district guna,1,10/2023-24
repair work at idgah hills old block no 1 to 10,1,1131/24
d. n. a. lab at r. f. s. l. rau indore,1,11/2019-20
upgradation work of 30 beded chc to 50 beded civil hospital at sonkatchh distt. dewas,2,"NIT 23/2022-23_1, NIT 16/2022-23_1"
false ceiling,1,SP/RTM/RI/1891/23
police thana nahargarh distt. mandsour,1,NIT 05/2020-21_4
40 kva ups for gwalior,1,D-10132/2023 Date 09-06-2023
345 at police line,1,NIT 11/2020-21_6
construction work of 100 seater kgbv type- iii hostel at ( mohangarh ) bhitarwar dist. gwalior,1,22/2024-25
construction of manch parade at 1st battalion s. a. f indore,1,1stbn/Qm/P-1806
construction for 24 qtrs joura,1,21/201-19
renovation work at jija bai college,1,02/2021-22
outer painting of new police colony qtrs b92 to b99,1,06/2021-22
construction of scheduled of item for boundary wall,1,03/2019-20
toilet repairing,3,"SP/Ujjain/RI/114/2024, 1544/23.05.2023 MT SHAKHA and TOILET REPAIRING, SP/RTM/RI/1833/23"
govt. excellence h. s. subhash school,1,12/2021-22
antimine vehicle garage at chowki sonewani,1,16/2020-21
bathrooms at camp rasimeta,1,09 / 2023-24
internal electrical work museum renovation work jnpa sagar.,1,15/2023-24
96 residential campus 25th bn bhopal,1,36/2023-24
rep. work of school parisar barrack at police line,1,20/2019-20-3
exterior painting work at narcotics office guitar square palasia indore ( m. p. ),1,21/2024-25/6
24 ngo 96 constable qtrs 34th bn saf dhar,2,"13/2018-19/1, 09/2018-19"
morena.,2,"35/2023-24, 33/2024-25"
alaknanda block 4 at first battalion s. f. a. indore,1,01/2020-21/11
drainage work of ri residential bunglow,1,SP/Ujjain/RI/3407A/2023
kendrya police kalyan bhandar marmat karya,1,g-1830/23 dt 16.08.2023
renovation of gates at sport stadium distt. vidisha,1,03/2021-22
store bhawan,1,17/2018-19
construction work of 50 beded barrack 10 btn saf dist sagar,1,14/2023-24
chainlink fancing work at lawn tennis court,2,"NIT 07/2021-22, NIT 04/2021-22_1"
12 ngo 48 constable qtrs drp line betul external electrification work 11/ 0. 4 kv line 2x100kva 1x200 kva substation.,1,21/2018-19
h. s. s. morena,1,19/2021-22
ufed touch 2,1,SCPH/STORE/D-102/2020
sitc of air conditioning at rfsl bhadbhada road bhopal,1,04/2019-20
semi urban thana dharampur panna,1,09/2019-20
repairing of tapti,1,23/2020-21/04
water proofing work on various roof of qtrs at 25th bn bhopal,1,35/2022-23
construction of semi urban thana at dehat distt chhindwara,1,03/2019-20/4
catering work at pts rewa,1,D-771 dated 03-04-2025
all required accessories,1,No./FSL/Tender/DNANGS/SB 2019-20
district alirajpur,3,"02/2023-24, 03/2023-24, 06/2021-22"
mtd grass 4nd 267,1,MTD GRASS 2024
construction of 350 beded male barrack at pts parisar,1,NIT 27/2024-25_11
1 g type,2,"23/2019-20, 19/2021-22 JHIKBIJURI HEALTH"
let bath at sdop office ghansor distt seoni ii call,1,2024_MPP_300A
hiring of professional/ consultancy services of chartered accountant firm/ company to maintain,1,07/2021-22
sewerline,1,31 / 2024-25
result for construction of main gate with check post at grp police line hapsi bicholi indore,1,M-184/25.01.2025
4 h type qtrs at district hospitalcampus gadarwara distt narsinghpur,3,"07/2022-23, 05/2022-23, 05/2019-20/9"
construction of chowkey pehra chhatarpur,1,21/2019-20
construction of govt. primary school sala ( distt.- dhar ),1,20/2024-25/10
tube well work dist. sehore ( balance work ),1,14/2022-23
dcp office jahangirabad,1,11/2023-24
construction of ajk thana anuppur,1,07/19-20
upgradation work of shrimant madhavrao scindia district sports academy shivpuri,1,24/2023-24
upgradation work of 30 beded chc to 50 beded civil hospital at nalkheda distt. agar malwa,1,NIT 16/2022-23_2
sehora,1,08/2024-25
external electrification work of 8go 12 ngo 48 constable quarters sidhi,1,15/2019-20
construction of tribal samudayik bhavan at gram panchayat kachharatola,1,"24/2021-22 Samudayik Bhavan Kachharatola,Chechariy"
drone camera,1,SB/STORE/2019-25(86) BHOPAL DT 7.3.19
barrick,2,"84B, 85B"
repairing civil work,1,P-316-A
external electrification work for 12 48 qtrs 29 batalion datia phase ii,1,23/2019-20
jahangirabad,1,7thBn/saf/Samagri Adhyaskya/28/2020/16/1/2020
external electrification work for 24 ngo,3,"07/2019-20_001, 16/2018-19, 23/2018-19_1"
traffic thana,1,01/2024-25
4k ultra handycam video camera,1,"SB/Store/2019-25(179) Bhopal, DT 01-07-19"
r works in the financial year 202324,1,DCP/HQ/RI/TENDER/02/23
repairing work of 12qtrs. at babu line,1,33/2024-25
magazine at new camp kandla,1,03/2025-26
2h type qtrs khandwa,1,06/2019-20
comprehensive three years amc of epbax system hipath 4000 of phq bhopal mp,1,F-542/2019
external eletrification work cm rise school building at harrai distt chhindwara,1,28/2023-24
construction of shed in front of community hall at 32 bn. third call,1,32BN/SAF/QM/M229
special repairing work at thana building bamhari dist shivpuri,1,42/2022-23
8. construction of male- female toilet at pts rewa,1,20/2018-19
cdr software,1,CP/IND/RK/125/2023
horse purchase 1260a,1,horse purchase 1260a
